"","id","start","end","is.overnight","start.r","end.r"
"90","zeeks-pizza-seattle-12",1100,2200,FALSE,1100,2200
"91","union-square-seattle",NA,NA,FALSE,NA,NA
"92","falafel-salam-seattle-9",1083.33333333333,2083.33333333333,FALSE,1083,2083
"93","il-corvo-pasta-seattle",1100,1500,FALSE,1100,1500
"94","cook-weaver-seattle-2",1500,2200,FALSE,1500,2200
"95","2c-thai-bistro-and-spirits-seattle-2",1354.54545454545,1963.63636363636,FALSE,1355,1964
"96","cafetal-quilombo-seattle",916.666666666667,1833.33333333333,FALSE,917,1833
"97","pink-bee-seattle-2",1350,1765,FALSE,1350,1765
"98","qian-noodle-seattle",1200,2100,FALSE,1200,2100
"99","le-caviste-seattle",1600,0,FALSE,1600,0
"100","sushi-kashiba-seattle",1700,2200,FALSE,1700,2200
"101","the-harvest-vine-seattle",1700,2200,FALSE,1700,2200
"102","campfire-bbq-seattle-7",NA,NA,FALSE,NA,NA
"103","dahlia-bakery-seattle",750,1785.71428571429,FALSE,750,1786
"104","mados-seattle-2",1100,1400,FALSE,1100,1400
"105","marée-bistro-and-bar-seattle",NA,NA,FALSE,NA,NA
"106","list-seattle",1600,0,FALSE,1600,0
"107","burger-planet-seattle",800,1500,FALSE,800,1500
"108","some-random-bar-seattle",1428.57142857143,28.5714285714286,TRUE,1429,29
"109","stock-seattle",1000,2030,FALSE,1000,2030
"110","marlainas-mediterranean-kitchen-seattle",1333.33333333333,2110,FALSE,1333,2110
"111","americano-seattle-4",1114.28571428571,2000,FALSE,1114,2000
"112","meet-the-moon-seattle",871.428571428571,2128.57142857143,FALSE,871,2129
"113","wann-yen-seattle",1200,1900,FALSE,1200,1900
"114","bakery-nouveau-seattle-3",628.571428571429,1900,FALSE,629,1900
"115","the-greek-house-burien",1100,2100,FALSE,1100,2100
"116","manis-kitchen-seattle",1400,1850,FALSE,1400,1850
"117","daddy-gs-seattle-2",1086.66666666667,1476.66666666667,TRUE,1087,1477
"118","sunset-cafe-seattle",1085.71428571429,2214.28571428571,FALSE,1086,2214
"119","tokara-seattle-2",1300,1800,FALSE,1300,1800
"120","aladdin-falafel-corner-seattle-2",1100,231.428571428571,TRUE,1100,231
"121","villa-escondida-seattle-3",1133.33333333333,2250,FALSE,1133,2250
"122","sprout-seattle",1000,1600,FALSE,1000,1600
"123","aviv-hummus-bar-seattle-2",1400,1800,FALSE,1400,1800
"124","karaage-setsuna-seattle",1440.90909090909,1798.18181818182,FALSE,1441,1798
"125","rockcreek-seafood-and-spirits-seattle",1444.44444444444,2122.22222222222,FALSE,1444,2122
"126","teriyaki-1st-seattle-2",1100,2200,FALSE,1100,2200
"127","organic-juice-bar-and-gyros-renton-3",1333.33333333333,1433.33333333333,TRUE,1333,1433
"128","flying-boots-ravenna-seattle-2",1100,200,TRUE,1100,200
"129","lopriore-bros-pasta-bar-seattle",1000,1700,FALSE,1000,1700
"130","amazing-thai-cuisine-seattle",1247.14285714286,2150,FALSE,1247,2150
"131","pizzeria-pulcinella-seattle-2",1128.57142857143,2128.57142857143,FALSE,1129,2129
"132","bar-ciudad-seattle",1583.33333333333,2200,FALSE,1583,2200
"133","the-station-seattle-3",657.142857142857,1971.42857142857,FALSE,657,1971
"134","nosh-seattle",NA,NA,FALSE,NA,NA
"135","vientiane-asian-grocery-seattle",930,1900,FALSE,930,1900
"136","tropicos-breeze-seattle-4",1071.42857142857,2271.42857142857,FALSE,1071,2271
"137","duck-island-ale-house-seattle",1400,200,TRUE,1400,200
"138","evergreens-seattle-3",1030,2000,FALSE,1030,2000
"139","seattle-meowtropolitan-seattle",757.142857142857,2057.14285714286,FALSE,757,2057
"140","seattle-lotus-vegetarian-restaurant-seattle",1000,2200,FALSE,1000,2200
"141","eden-hill-seattle",1700,2200,FALSE,1700,2200
"142","peyrassol-cafe-renton-3",1462.5,1873.75,FALSE,1462,1874
"143","dur-dur-cafe-seattle",700,300,TRUE,700,300
"144","thai-thai-kitchen-seattle-2",1128.57142857143,2100,FALSE,1129,2100
"145","the-zouave-restaurant-seattle",1700,2200,FALSE,1700,2200
"146","falafel-salam-seattle-7",850,2083.33333333333,FALSE,850,2083
"147","huong-duong-seattle",1000,2000,FALSE,1000,2000
"148","urban-donburi-kitchen-seattle",1030,1600,FALSE,1030,1600
"149","the-bite-sandwich-company-burien",1100,1785.71428571429,FALSE,1100,1786
"150","georges-sausage-and-delicatessen-seattle",916.666666666667,1666.66666666667,FALSE,917,1667
"151","james-moore-bar-and-kitchen-seattle",1130,416.666666666667,TRUE,1130,417
"152","tats-delicatessen-seattle",850,1538.33333333333,FALSE,850,1538
"153","beyond-the-bowl-seattle",1200,2125.71428571429,FALSE,1200,2126
"154","caffè-senso-unico-seattle-2",NA,NA,FALSE,NA,NA
"155","korochka-tavern-seattle",1600,0,FALSE,1600,0
"156","caffè-musica-seattle",NA,NA,FALSE,NA,NA
"157","spin-seattle-3",1371.42857142857,371.428571428571,TRUE,1371,371
"158","rain-shadow-meats-squared-seattle",1100,1783.33333333333,FALSE,1100,1783
"159","reckless-noodle-house-seattle-2",1600,433.333333333333,TRUE,1600,433
"160","zaccagnis-seattle-2",1100,1500,FALSE,1100,1500
"161","copine-seattle",1700,2100,FALSE,1700,2100
"162","asadero-ballard-seattle",1100,2200,FALSE,1100,2200
"163","west-seattle-fish-house-seattle",1100,2000,FALSE,1100,2000
"164","mkt-seattle",1700,2200,FALSE,1700,2200
"165","yummy-juans-renton",800,2200,FALSE,800,2200
"166","el-burrito-loco-renton-2",900,2200,FALSE,900,2200
"167","citizen-six-seattle",1100,2128.57142857143,FALSE,1100,2129
"168","chan-seattle-seattle-2",1700,2200,FALSE,1700,2200
"169","opus-co-seattle-2",1700,2200,FALSE,1700,2200
"170","flintcreek-cattle-seattle-2",1600,2230,FALSE,1600,2230
"171","tenth-west-seattle",800,1400,FALSE,800,1400
"172","the-guest-house-kenmore",1227.27272727273,1681.81818181818,FALSE,1227,1682
"173","adugenet-ethiopian-kitchen-seattle",1100,1450,TRUE,1100,1450
"174","safari-njema-restaurant-seattle",1166.66666666667,2200,FALSE,1167,2200
"175","tubs-gourmet-subs-seattle",1040,1871.42857142857,FALSE,1040,1871
"176","the-red-door-seattle",1100,57.1428571428571,TRUE,1100,57
"177","commuter-comforts-cafe-and-wine-bar-seattle",1125.71428571429,2214.28571428571,FALSE,1126,2214
"178","metropolitan-deli-and-cafe-seattle-5",757.142857142857,2171.42857142857,FALSE,757,2171
"179","queen-anne-cafe-seattle",1145.83333333333,1715,FALSE,1146,1715
"180","nibbana-thai-restaurant-renton",NA,NA,FALSE,NA,NA
"181","lotus-asian-kitchen-and-lounge-seattle",1030,200,TRUE,1030,200
"182","paragon-seattle-seattle",1092.85714285714,200,TRUE,1093,200
"183","eat-thai-cuisine-seattle-2",1171.42857142857,2100,FALSE,1171,2100
"184","pings-dumpling-house-seattle",900,2100,FALSE,900,2100
"185","gordon-biersch-brewery-restaurant-seattle",1271.42857142857,1642.85714285714,FALSE,1271,1643
"186","spring-kitchen-seattle",1100,2085.71428571429,FALSE,1100,2086
